ticker,alpha,MERCADO,VALUE,TAMANO,MOMENTUM,VOLATILIDAD,LIQUIDEZ,r2,n_obs,suma_beta
AAPL,0.012089783604865073,1.3063662707658712,0.003611084991778455,-0.346679091651262,0.0019859136668599923,0.17855175300453796,-0.14383593077778567,0.38523466762541825,190,1.0
ABBV,0.016047265866890294,0.697793864934744,0.1822463233652546,-0.20997981791723686,0.012886253168808669,0.1095218283407382,0.20753154810769137,0.18826459281165142,164,1.0
ABT,0.003166236666189397,0.964558906196832,-0.10946341627204739,0.0002627610649456494,-0.09001420935555784,0.5085379461360088,-0.27388198777018125,0.45260893988117024,190,1.0
ACN,0.001735721340575796,1.2214535829425077,-0.24272653042045894,-0.06667811166719888,-0.08468915429310854,0.12767269067202192,0.04496752276623672,0.574085200185368,180,1.0
ADBE,-0.0023824229702592158,1.3190805402752135,-0.36574663571354465,0.14900734029397777,0.1824839614523966,0.03733249315197884,-0.32215769946002193,0.456431308852014,132,1.0000000000000002
ADI,-0.0065574541501198765,1.0485784178592314,0.39076884546200596,0.15380365167125024,0.16865609242837917,-0.28871041476394343,-0.47309659265692344,0.4380900626113664,69,0.9999999999999998
ADP,0.006546681546211075,0.8831619851292125,0.08822622463145588,-0.1403598078088885,-0.013992326597161979,0.25248778939766947,-0.06952386475228733,0.43966395520987334,108,1.0
AFL,,,,,,,,,1,
AIG,-0.00026483734309383305,1.1506748411142598,0.2593654013253067,0.05878863395847238,0.06620812352621103,-0.26839235306648246,-0.2666446468577675,0.40462629227778735,72,1.0000000000000002
AMAT,-0.001330353934290504,1.109696264067719,-0.5083197218042178,0.7030016784268625,0.4579266677947663,-0.38033911109711727,-0.38196577738801274,0.4204633169398462,81,0.9999999999999998
AMD,0.006295478354508329,1.6232910013533988,-0.8357011749091355,0.4190102284910403,0.26132679403155934,-0.8332656939340473,0.3653388449671845,0.5081271905098881,81,1.0
AMGN,0.00417337619910862,0.7555647134914134,0.06809406217327832,0.24505617346271888,-0.03209799298884164,0.3314364385841094,-0.3680533947226784,0.23497540419385765,190,0.9999999999999999
AMT,0.0026499767553548035,0.8189557931799402,-0.6178317626552275,0.41655670866369027,-0.38832184597944697,0.6411479529075687,0.12949315388347535,0.3906731944015227,108,1.0
