fecha,ticker,rendimiento,pe,market_cap,momentum_12_1,volatilidad_12m,rotacion_3m,miembro
2010-01-31,AAPL,-0.08859688748316785,,174158971738.2063,1.3380667896072271,0.08047758057133429,0.4614963654378384,1
2010-01-31,ABT,-0.01228655263509637,,81884331877.34604,-0.0004966300106418187,0.0735736639460019,0.07652679437990505,1
2010-01-31,ACN,-0.01228931184916826,,25886294962.46719,0.3404591896861111,0.07045181717190938,0.13905801751932229,0
2010-01-31,ADBE,-0.12180532057978444,,16929063810.62845,0.9047125736159061,0.13161167561613685,0.2080091264133234,0
2010-01-31,ADI,-0.1462947686808278,,7868592971.112572,0.6339844385931708,0.09615720905803406,0.26863767554270535,0
2010-01-31,ADP,-0.047407540144025595,,20583886719.44028,0.2202827216491181,0.050690486484349755,0.11909236695805049,0
2010-01-31,AFL,0.04713500610735544,,22660360190.70152,1.0625780661320885,0.19164874260050585,0.14204981488354088,1
2010-01-31,AIG,-0.19179422578027605,,3261536731.551632,0.1710940996343382,0.8768740300854724,1.9240247842084,0
2010-01-31,AMAT,-0.12625541136911256,,16336535431.25977,0.5182384791116914,0.11651476143515574,0.31936111809562934,0
2010-01-31,AMD,-0.22933886333059317,,,3.420091348062158,0.25233228343138,,0
2010-01-31,AMGN,0.03376334519123514,,59189855156.99979,0.03135814760076783,0.07676800751517698,0.12750986327363725,1
2010-01-31,AMT,-0.017588656865363483,,17041648743.28377,0.4241927118765312,0.06392810504659316,0.1384784830953499,0
2010-01-31,AMZN,-0.0677222212927151,,55750570919.19769,1.2869771734273452,0.1006917394621225,0.4562398480505058,1
2010-01-31,APA,-0.04132119042357518,,,0.3833316334517378,0.11650942408676541,,1
2010-01-31,APD,-0.06291622492634963,,16115093028.80585,0.6536743832933913,0.09648377682073841,0.10995984377790054,0
2010-01-31,APH,-0.13728868934898608,,6832445406.488384,0.7691767867962176,0.08787080523407417,0.14166243476865784,0
2010-01-31,AVGO,-0.0497544453632095,,,,,,0
2010-01-31,AXP,-0.06653216498517711,,44784117840.82716,1.486122538832193,0.2820796470833877,0.1870574322910418,1
2010-01-31,BA,0.1195267437719234,,44031902169.69781,0.32909935761342446,0.1249529954277309,0.1458656801499357,1
2010-01-31,BAC,0.00796771502577287,,131318536950.4824,1.2998972313713621,0.276065969961159,0.4957277913115177,1
2010-01-31,BAX,-0.018575228073871686,,34718810775.48972,0.021065055209475547,0.05955342805265292,0.14552649957717778,1
2010-01-31,BDX,-0.0442558891939453,,17871649300.73315,0.1067536967665339,0.08757794407559022,0.13024606133572478,0
2010-01-31,BIIB,0.004486012681622409,,15541528788.99011,0.09969164074005588,0.10168238056711199,0.23340057445730264,0
2010-01-31,BKNG,-0.10558102813618186,,,2.255477230154806,0.1451324983145546,,0
2010-01-31,BLK,-0.07915553951496701,,,1.177696308215325,0.1162157771295098,,0
2010-01-31,BMY,-0.03524738328679733,,48256677443.85432,0.2469371868690955,0.09663828429908551,0.27006091021686823,1
2010-01-31,BNY,0.0431971830606841,,35031456921.97305,0.0977494446899847,0.11000012089631353,0.14839495946496029,1
2010-01-31,BRK-B,0.16296407312145322,,177897742625.3242,0.09936437876715698,0.08036427799347813,0.028862551209072215,1
2010-01-31,BSX,-0.04111109839545357,,13035010986.55499,0.014656157397765712,0.12391468045049227,0.21919905955610253,0
2010-01-31,BX,-0.07545731068566874,,,2.1241817264980343,0.1709419114582145,,0
2010-01-31,C,0.0030213419027624866,,75908306650.90074,-0.06760597792171641,0.3446343793808344,0.46093592150540436,1
