fecha,rf,MERCADO,VALUE,TAMANO,MOMENTUM,VOLATILIDAD,LIQUIDEZ
2010-01-31,4.166666728754839e-05,-0.0370159123595497,,0.00601224664949284,-0.059817497622325494,-0.025854836593962448,0.027287204457873224
2010-02-28,5.833333358168602e-05,0.028455355712963922,,0.018526326308480903,0.02861505994025502,-0.035907978003955864,-0.004881783005090488
2010-03-31,9.583333507180216e-05,0.058700592210426,,0.01575924525337876,0.04808289239513178,-0.051756517024850776,-0.003045332142750011
2010-04-30,0.00012500000496705376,0.0146342304770455,,0.01951023831200304,0.021997476813303354,-0.025618595803013386,0.0060864948088846065
2010-05-31,0.00012916666766007743,-0.08210500874085028,,0.01420123339690342,-0.02236225416510794,0.021717238568667765,-0.030661333859044675
2010-06-30,0.00012500000496705376,-0.0540074422448059,,-0.013340125124189597,-0.04529293607560761,0.03785696351074613,0.010039672762709895
2010-07-31,0.00014166666815678273,0.06863618290647884,,0.025688949249016005,0.030228973523034275,-0.035729092276419086,-0.010387157200027773
2010-08-31,0.00011666666716337199,-0.047565850299768016,,0.014409855857472554,0.0013774256038386334,0.05009505499279353,-0.019730754345965475
2010-09-30,0.00011250000447034834,0.08743860304666477,,0.006532304311403309,0.009927131844070125,-0.04356847296268286,-0.01476360324650488
2010-10-31,0.00012916666766007743,0.03672682736788055,,-0.005683110841562689,-0.01058471837209661,-0.03952781481107586,0.003550906580836448
2010-11-30,9.166666616996133e-05,-0.0023819164127466172,,0.026279900197835566,0.0069411023584134805,-0.020639125146637703,-0.013282995582090824
2010-12-31,0.0001333333303531011,0.06516670701680242,0.07094100679145006,-0.003463694452758778,-0.034029145344485555,-0.04422345628230746,-0.0012797728344599059
2011-01-31,9.583333507180216e-05,0.02254974102406736,-0.009962043421135694,0.0020143749410813754,0.0021017801104071566,-0.028898222966042664,-0.00945084519928009
2011-02-28,0.00012083332985639575,0.031835730398236575,-0.051627293938675524,0.011995050772121936,0.032186976472807806,-0.003346393933990003,0.020572068160586154
2011-03-31,0.00011250000447034834,-0.0011598129436365045,0.010564064279616169,0.02317655446664267,0.010504050528023254,0.01450786889298777,-0.017491364092116334
2011-04-30,7.500000298023224e-05,0.02842038066355511,-0.00585544998701756,0.009617385629749231,-0.009037012911020423,0.034153982224859186,-0.005242741824787053
2011-05-31,3.3333332588275274e-05,-0.013534286227811181,-0.0024705857934284522,0.024115529413004575,-0.019774490641115024,0.05290597118058625,-0.03408897155394011
2011-06-30,3.3333332588275274e-05,-0.018290794985067266,-0.02110971840845653,0.012482905277271476,0.024853297312911672,0.007344392064423153,-0.01358558360111067
2011-07-31,1.2499999720603225e-05,-0.02148692530638715,-0.0020459867135953613,-0.013012698597304737,-0.011640735657495327,0.00033976771041126577,-0.03580483642799303
2011-08-31,7.500000298023224e-05,-0.05686610795530868,-0.02153110892298389,0.014330068181747955,-0.011088292542456503,0.0925665170280836,-0.026206060191730544
2011-09-30,1.2499999720603225e-05,-0.07177448808061788,-0.03408745279491954,0.009541406076541685,-0.011540055438768612,0.10542842159894436,-0.03489414218345783
2011-10-31,8.333333147068818e-06,0.10771470510429484,0.06373564486641023,0.03533636626089659,-0.02788517780528045,-0.1378982749558227,0.029591607125413255
2011-11-30,4.166666573534409e-06,-0.005062881773584925,-0.01934609370699092,0.004414480730836249,0.02291993846931226,0.03297260526647759,0.012194956666868671
2011-12-31,1.2499999720603225e-05,0.008520263666915974,0.0005816368465840337,-0.02511435980569825,0.029347997831904126,0.05091435634578072,-0.01539253472030292
2012-01-31,4.166666573534409e-06,0.04357889603841182,0.04624251094843306,0.044700814954789544,-0.09453328157031451,-0.12556561986936376,-0.013611799372728203
2012-02-29,4.583333308498066e-05,0.04054363043503225,0.0028598078420469172,-0.010976339435904849,0.0028577727351985147,-0.015282106238959866,-0.0006859689717292295
2012-03-31,6.250000248352687e-05,0.03126981452895795,-0.03146601867816129,0.009550928573129315,0.022591219960804473,0.011114699164554001,-0.026627899335662845
2012-04-30,5.416666467984518e-05,-0.0075516190371755065,-0.01874627784757628,0.026187525012518184,0.03498813602860903,0.01915494001065817,-0.014314897557820928
2012-05-31,7.500000298023224e-05,-0.0627257257175239,-0.036689303673520475,-0.016285977746487545,0.04742055225460426,0.10197424540119408,-0.017580559720879657
2012-06-30,4.999999888241291e-05,0.039504982229453894,0.0011024412087011493,-0.014435030075872761,0.012294894525553723,0.009393937609285148,0.00813383239460215
2012-07-31,6.666666517655055e-05,0.012530907539610692,-0.00789851531121235,-0.015271669483879159,0.014605158654821622,0.02104160102762783,0.0004359532952353251
2012-08-31,8.333333457509675e-05,0.019680036171511272,0.026057571477509336,0.011077339740876048,-0.03041503105938026,-0.049109711210518645,-0.01707726895155634
2012-09-30,7.083333407839139e-05,0.024165320283696255,0.008938570040896928,-0.003627778637848366,0.006730287590925126,-0.0028324001078789025,-0.023712408315329184
2012-10-31,7.500000298023224e-05,-0.019864409719273515,0.024542202422125157,0.016431704474252157,-0.012563450067548578,-0.0116425456006249,-0.015229080567760084
2012-11-30,8.749999726812042e-05,0.002759216687774651,-0.04973060100422642,0.020100906545078675,0.028685163590884515,-0.021200221614828266,-0.010711394406678055
2012-12-31,6.250000248352687e-05,0.007005730953800867,0.016568831904297063,0.0021649027439998303,-0.016393628838976514,-0.02627313325806868,-0.012708398384745271
2013-01-31,2.916666679084301e-05,0.05039892980007779,-0.007169123371902647,0.02822361951804736,-0.017647654065439923,-0.011092259232137774,-0.014141792945062365
2013-02-28,5.416666467984518e-05,0.011006482100362135,-0.023965847023272625,0.00016800143760698286,0.004487520521148846,0.01821348032704604,-0.0077486919250213115
2013-03-31,8.333333457509675e-05,0.03590439064829766,-0.015096607126338018,0.01866198690134965,0.0049954889595903995,0.02297504693136742,-0.039387799376980275
2013-04-30,5.416666467984518e-05,0.01803160111520973,-0.0038726738695911977,-0.001331863894547914,-0.0011073602105155199,0.0048683742243643136,0.0009822496699973017
2013-05-31,3.750000149011612e-05,0.02072531168156793,0.010879706578604882,0.027286048932422025,0.005749178761526939,-0.08130410975986292,-0.014654072932064097
2013-06-30,2.4999999441206457e-05,-0.015024301595022034,-0.013213878489618087,0.014444196828356655,-0.018241729203088558,0.01157822580816618,-0.0005359158284069868
2013-07-31,2.4999999441206457e-05,0.04943707991364417,0.004917952338123366,0.02127514459899406,0.022793634099165815,-0.011363366772083938,-0.018120931430387784
2013-08-31,2.4999999441206457e-05,-0.03132301947878517,-0.0122452780707231,0.011803780008701536,-0.0035169231460627642,-0.015059775006397387,-0.01620457502315775
2013-09-30,1.6666666294137633e-05,0.029732856592901195,-0.029192230907267958,0.018384588983029828,0.012963547120433846,-0.00562492879341844,-0.009901897039875665
2013-10-31,4.166666573534409e-06,0.044591586095371186,-0.0282167227173558,0.0042646562325313955,0.007053954611010861,-0.009309346410811707,-0.003850076189041783
2013-11-30,2.7499999850988393e-05,0.02802197136747773,0.002152275001984831,-0.007794942796738952,0.019843537462101907,-0.019388390848070265,0.004970057119393001
2013-12-31,4.583333308498066e-05,0.02351695864236077,0.01599222183584107,0.004884078855808209,-0.00806551386583353,0.004429935115831039,-0.00981083928862784
2014-01-31,5.250000084439913e-05,-0.03563540595665599,-0.018019472479166767,0.01772266648182309,0.014115262557769726,-0.03137309395140641,-0.01477588654817371
2014-02-28,8.333333147068818e-06,0.04310869684501475,-0.010008055968476301,0.020808442569155646,0.015796492405317705,-0.002054490178059566,-0.027412651841582654
2014-03-31,3.58333345502615e-05,0.006896332083676571,0.06203803154116306,0.012570921605639341,-0.03941795133286821,0.029918459531997385,0.0027442209759559813
2014-04-30,2.3333334053556123e-05,0.006177455819360821,0.019917390493402305,-0.0015503396644321842,-0.048451115062094444,0.02277141055152449,-0.00922957332510636
2014-05-31,1.6666666294137633e-05,0.02101361340698609,-0.009695606234481569,0.02215867516302,0.032072321761934294,-0.01912344578130614,-0.013575087727856568
2014-06-30,2.4999999441206457e-05,0.01903333175002915,0.014662109284583882,0.010175167105117507,0.005298878099586709,-0.010925522819301016,-0.015828407685046095
2014-07-31,1.6666666294137633e-05,-0.015096497511636728,0.006619657677847241,-0.0016951036841584147,0.006682112162048904,-0.02992979763152579,-0.028315585111983718
2014-08-31,1.4999999354283019e-05,0.03764029558047144,0.007490607564292696,-0.011392623202643032,0.0024033602967863943,0.004811991681773424,-0.02160749551188406
2014-09-30,1.4999999354283019e-05,-0.015528837248808493,-0.022310014878239203,-0.011126263525955454,-0.015023801200882677,0.009344390844950222,0.003476540684564794
2014-10-31,1.083333355685075e-05,0.023190627333646227,-0.03611406804418014,0.01234857591475364,-0.018594372743610546,0.030438513616411894,-0.01851960805632869
2014-11-30,2.50000002173086e-06,0.02453108864629321,-0.030617425034470142,-0.006183288005010723,-0.02123533953658259,0.044436979670958235,-0.022415103035094277
2014-12-31,4.166666573534409e-06,-0.004192754182570578,0.012765518619408077,0.015225313645755804,0.006248680446141101,0.004380883352233949,-0.008374972555587529
2015-01-31,3.083333373069763e-05,-0.03107163917214132,-0.061722609666695405,0.02352142912033489,0.026904823572384995,-0.018775323443339792,-0.003822948039996444
2015-02-28,4.166666573534409e-06,0.05488834422404977,0.029695224397373952,0.0020264944339946495,-0.025489074412245273,-0.02490824025721479,-0.010483080041071156
2015-03-31,6.6666669833163425e-06,-0.017402773781202887,-0.022014299300729363,0.009510004767349468,0.008592985308902653,0.008155220223407623,-0.014216528491969764
2015-04-30,2.0833333643774194e-05,0.008499986488891501,0.019187841559208923,-0.01811000845178372,-0.04251465844243704,-0.06549952905088813,0.006240055339574113
2015-05-31,4.166666573534409e-06,0.010487215638016257,-0.004831150551159652,0.01073503858930432,0.03453105229130841,0.004343646923455773,-0.019335102044008762
2015-06-30,2.50000002173086e-06,-0.021014171979751705,-0.03188659664034778,-0.00046543605751303563,0.02624602721282091,-0.000708682470948031,-0.013097972411549282
2015-07-31,8.333333147068818e-06,0.019733696102037814,-0.054291307482851624,0.01100013388472356,0.035052230084049715,0.015557444154904308,-0.012043870190998285
2015-08-31,4.83333319425583e-05,-0.06262915158780792,-0.010827614561138593,0.022753771744799207,-0.01168383512902648,-0.00788693684012809,-0.012036337218218854
2015-09-30,2.50000002173086e-06,-0.02644533128002342,-0.022317011620096364,0.00774498198731665,0.01363898214101695,0.030506410700478943,-0.012031210534284242
2015-10-31,4.166666573534409e-06,0.08297895114609301,-0.010369893615274128,-0.023407547360133077,0.001967725872531162,-0.044432822507084684,0.01708431324027022
2015-11-30,5.6666669746239976e-05,0.00044820244058863125,-0.004252892440052515,-0.004416753048642883,0.015690177579287316,-0.007209692294525579,-0.002951722837257042
2015-12-31,0.00014166666815678273,-0.01767185170084933,-0.025015880908399145,-0.013303319822584191,0.030150355873900598,0.02312014972976301,0.0077915849932267585
2016-01-31,0.0001233333349227905,-0.05085865538187509,-0.05731470667371777,0.002801429868186364,-0.024141912080505076,0.059305542628273505,0.006024254397349917
2016-02-29,0.0002500000099341075,-0.00437836031893765,0.026932849738993632,0.017066843173305105,-0.029243029187319275,-0.001164117198507541,-0.008715450905216967
2016-03-31,0.00025666666527589157,0.06573444777478256,0.012158395539113215,0.0020620265019700573,-0.010383792101223768,0.00013314843968463552,-0.014233079672454423
